,p_val,avg_logFC,pct.1,pct.2,p_val_adj
mt-Atp8,0,0.452595892,0.728,0.486,0
mt-Cytb,9.28E-275,0.317963819,0.897,0.803,1.26E-270
mt-Co2,1.66E-269,0.266861601,0.969,0.941,2.24E-265
mt-Co3,4.26E-266,0.2994947,0.861,0.75,5.77E-262
mt-Co1,1.99E-225,0.259560059,0.981,0.958,2.69E-221
AY036118,4.27E-173,0.482002951,0.455,0.295,5.78E-169
Rps29,1.48E-169,0.180336172,1,0.999,2.00E-165
Gm42418,3.30E-158,0.303912838,0.985,0.963,4.46E-154
Vps37b,1.18E-153,-0.390930288,0.47,0.609,1.59E-149
Rps21,8.67E-145,0.164551102,0.998,0.993,1.17E-140
mt-Atp6,1.30E-143,0.203195273,0.967,0.945,1.76E-139
Gramd3,8.42E-132,-0.193916414,0.169,0.31,1.14E-127
Ifi27l2a,2.78E-116,-0.375117565,0.281,0.42,3.76E-112
Irf1,8.71E-94,-0.205039769,0.296,0.425,1.18E-89
Tcp11l2,2.08E-90,-0.15263799,0.294,0.422,2.81E-86
Actb,8.47E-90,0.120291182,1,1,1.15E-85
Hspa1a,2.16E-87,0.251371505,0.227,0.123,2.92E-83
Hist1h2ap,2.30E-83,0.195483895,0.277,0.168,3.11E-79
Tpt1,9.14E-82,0.106489194,1,1,1.24E-77
Irf7,3.83E-78,-0.138607382,0.145,0.247,5.19E-74
Ifrd1,5.18E-76,-0.153649344,0.382,0.508,7.01E-72
Tgif1,3.07E-74,-0.139950682,0.232,0.346,4.15E-70
Ubc,5.50E-72,-0.14344363,0.759,0.82,7.44E-68
Rps16,1.41E-70,0.089197024,1,1,1.91E-66
Lars2,1.47E-70,0.216621359,0.722,0.632,1.99E-66
Emb,5.22E-70,-0.181209975,0.396,0.501,7.06E-66
Rps10,4.13E-69,0.091331326,1,0.999,5.59E-65
Tubb4b,1.88E-66,-0.123755847,0.356,0.474,2.55E-62
Rnf145,1.07E-65,-0.113656027,0.266,0.38,1.45E-61
Rnf125,1.10E-65,-0.101669962,0.127,0.216,1.49E-61
Pde4d,4.37E-65,-0.14012545,0.352,0.465,5.91E-61
Rtp4,2.45E-63,-0.116635366,0.122,0.209,3.32E-59
Il7r,5.86E-63,-0.177457831,0.156,0.244,7.94E-59
Ubb,4.28E-62,-0.118119631,0.999,1,5.80E-58
Ube2b,6.50E-62,-0.129045969,0.469,0.576,8.80E-58
Ptpn22,6.16E-59,-0.114878168,0.214,0.309,8.34E-55
S1pr4,1.04E-58,-0.114159936,0.202,0.295,1.41E-54
Hspa5,2.99E-58,-0.136941332,0.557,0.658,4.05E-54
Tax1bp1,8.36E-58,-0.114334102,0.413,0.527,1.13E-53
Slfn2,2.23E-56,-0.150708507,0.588,0.678,3.02E-52
mt-Nd2,1.02E-55,0.149455448,0.52,0.438,1.38E-51
Calm1,3.42E-55,-0.121452491,0.857,0.888,4.63E-51
Rpl28,1.19E-54,0.086066482,1,0.999,1.61E-50
Ccng2,2.75E-54,-0.103956132,0.276,0.378,3.72E-50
Eef2,1.24E-53,0.098048024,0.995,0.989,1.68E-49
Rpl6,5.55E-53,0.084678193,0.999,0.998,7.51E-49
Chd1,7.92E-53,-0.110313167,0.375,0.485,1.07E-48
Rps27,2.75E-52,0.085367547,0.999,0.999,3.72E-48
Stat1,3.44E-52,-0.158145484,0.272,0.367,4.65E-48
Rpl38,3.50E-52,0.097791134,0.998,0.993,4.74E-48
Hsp90aa1,1.20E-51,0.152251484,0.826,0.769,1.63E-47
Hbp1,1.09E-50,-0.10369091,0.367,0.472,1.47E-46
Slbp,1.91E-50,-0.106335793,0.296,0.396,2.58E-46
Slfn1,2.46E-50,-0.127420936,0.2,0.284,3.34E-46
Gch1,6.15E-50,-0.089255845,0.189,0.277,8.33E-46
Actg1,9.00E-50,0.109889222,0.989,0.973,1.22E-45
Hsp90b1,3.15E-49,-0.108219142,0.362,0.461,4.26E-45
Tsc22d3,4.48E-49,-0.149237245,0.6,0.682,6.07E-45
Ndufa4,4.55E-49,-0.115376442,0.443,0.544,6.16E-45
Hspa1b,1.05E-48,0.093983854,0.162,0.093,1.42E-44
P2ry10,2.77E-48,-0.103406498,0.157,0.236,3.75E-44
Rpl27a,3.22E-48,0.081352757,0.998,0.997,4.36E-44
Saraf,7.72E-47,-0.123023124,0.664,0.734,1.05E-42
Pkn2,2.43E-45,-0.083893004,0.225,0.314,3.29E-41
Tra2b,2.49E-45,0.111736823,0.735,0.669,3.38E-41
Ifngr2,2.81E-45,-0.090670808,0.172,0.252,3.81E-41
Ier5,3.25E-45,-0.108520483,0.329,0.423,4.40E-41
