cell_TRBJ,het_1MF1_mHTO01,het_1MF1_mHTO02,het_1MF1_mHTO04,het_1MF1_mHTO05,het_1MF1_freq,het_3MF1_mHTO01,het_3MF1_mHTO02,het_3MF1_mHTO04,het_3MF1_mHTO05,het_3MF1_freq,ko_1MF2_mHTO01,ko_1MF2_mHTO02,ko_1MF2_mHTO04,ko_1MF2_mHTO05,ko_1MF2_freq,ko_3MF2_mHTO01,ko_3MF2_mHTO02,ko_3MF2_mHTO04,ko_3MF2_mHTO05,ko_3MF2_freq
TRBJ1-1,68,112,154,149,483,29,37,64,80,210,54,78,137,100,369,19,77,86,63,245
TRBJ1-2,26,43,67,63,199,26,15,32,42,115,28,22,59,42,151,10,28,33,32,103
TRBJ1-3,28,67,67,53,215,18,23,25,33,99,38,49,63,39,189,12,32,41,30,115
TRBJ1-4,35,63,111,72,281,26,29,42,53,150,43,46,73,59,221,17,44,38,28,127
TRBJ1-5,18,21,30,30,99,16,6,19,27,68,24,18,47,22,111,5,12,23,16,56
TRBJ1-6,17,39,39,42,137,14,13,21,14,62,20,29,36,28,113,7,22,18,23,70
TRBJ2-1,40,139,180,175,534,35,49,72,96,252,61,123,167,143,494,21,105,121,105,352
TRBJ2-2,30,80,90,87,287,23,31,33,40,127,48,42,70,60,220,18,35,42,46,141
TRBJ2-3,57,98,117,132,404,33,32,54,75,194,50,76,84,76,286,18,60,52,58,188
TRBJ2-4,47,107,137,122,413,29,38,47,79,193,58,69,134,100,361,22,71,75,64,232
TRBJ2-5,63,151,182,200,596,40,47,80,119,286,62,86,179,139,466,34,86,105,98,323
TRBJ2-7,77,251,330,341,999,57,104,137,136,434,67,176,291,213,747,32,184,168,153,537
