,p_val,avg_logFC,pct.1,pct.2,p_val_adj
mt-Atp8,0,0.452595892010045,0.728,0.486,0
mt-Cytb,9.27645945001746e-275,0.317963819236839,0.897,0.803,1.25612537412686e-270
mt-Co2,1.65607677990247e-269,0.266861601258327,0.969,0.941,2.24249356766593e-265
mt-Co3,4.25815949144822e-266,0.299494699955185,0.861,0.75,5.76597376737004e-262
mt-Co1,1.98531496302661e-225,0.259560058980804,0.981,0.958,2.68831499143434e-221
AY036118,4.26670443067291e-173,0.482002951231141,0.455,0.295,5.77754446957418e-169
Rps29,1.47527193403199e-169,0.180336172428898,1,0.999,1.99766572587271e-165
Gm42418,3.29664638931235e-158,0.30391283813334,0.985,0.963,4.46398887576786e-154
Vps37b,1.17704662907914e-153,-0.39093028753434,0.47,0.609,1.59383884043607e-149
Rps21,8.67027496546625e-145,0.164551101557718,0.998,0.993,1.17404193307378e-140
mt-Atp6,1.2965050778157e-143,0.203195273321399,0.967,0.945,1.75559752587024e-139
Gramd3,8.41733559478466e-132,-0.193916413658049,0.169,0.31,1.13979141288979e-127
Ifi27l2a,2.77871799094405e-116,-0.37511756454504,0.281,0.42,3.76266203153734e-112
Irf1,8.70723280040404e-94,-0.20503976881333,0.296,0.425,1.17904639350271e-89
Tcp11l2,2.07812767920438e-90,-0.15263799012153,0.294,0.422,2.81399269041066e-86
Actb,8.46800678983758e-90,0.120291181596011,1,1,1.14665279941191e-85
Hspa1a,2.15967171387333e-87,0.251371504508631,0.227,0.123,2.92441146775588e-83
Hist1h2ap,2.29744592397981e-83,0.195483894849927,0.277,0.168,3.11097152566106e-79
Tpt1,9.13506723730928e-82,0.106489194282009,1,1,1.23697945460405e-77
Eomes,6.07057748096413e-80,0.0520774189512823,0.047,0.005,8.22016896697352e-76
Irf7,3.83335114945377e-78,-0.138607382014961,0.145,0.247,5.19074079147535e-74
Ifrd1,5.17632455023425e-76,-0.153649344112998,0.382,0.508,7.00926107347219e-72
Tgif1,3.06820862518368e-74,-0.139950682032375,0.232,0.346,4.15466129936122e-70
Ubc,5.49524765682091e-72,-0.143443630269627,0.759,0.82,7.4411148521012e-68
Rps16,1.40872249558824e-70,0.0891970236071944,1,1,1.90755113127603e-66
Lars2,1.47267175179876e-70,0.216621359445548,0.722,0.632,1.9941448191107e-66
Emb,5.21528364284535e-70,-0.181209975063889,0.396,0.501,7.06201558077689e-66
Rps10,4.12889610993324e-69,0.0913313263175128,1,0.999,5.59093822246061e-65
Tubb4b,1.88404981372008e-66,-0.123755847372959,0.356,0.474,2.55119185275837e-62
Rnf145,1.06875729465455e-65,-0.113656027051044,0.266,0.38,1.44720425269173e-61
Rnf125,1.0987586716146e-65,-0.101669961684171,0.127,0.216,1.48782911723333e-61
Pde4d,4.36735282321417e-65,-0.140125449988385,0.352,0.465,5.9138324579143e-61
Rtp4,2.45107410640164e-63,-0.116635366479956,0.122,0.209,3.31899944747846e-59
Il7r,5.86267227738722e-63,-0.177457831304787,0.156,0.244,7.93864453081004e-59
Ubb,4.2822475621052e-62,-0.118119630659354,0.999,1,5.79859142384666e-58
Ube2b,6.50033948509172e-62,-0.12904596924637,0.469,0.576,8.8021096967627e-58
Ptpn22,6.15541343927321e-59,-0.114878167816076,0.214,0.309,8.33504533811985e-55
S1pr4,1.04437332148399e-58,-0.114159936348315,0.202,0.295,1.41418591462147e-54
Hspa5,2.98834574368723e-58,-0.136941331550013,0.557,0.658,4.04651897152688e-54
Tax1bp1,8.35598669075102e-58,-0.114334101656847,0.413,0.527,1.1314841577946e-53
Slfn2,2.23017314474068e-56,-0.150708506871766,0.588,0.678,3.01987745529335e-52
mt-Nd2,1.02246711343931e-55,0.149455447606484,0.52,0.438,1.38452271830817e-51
Calm1,3.42072028457478e-55,-0.121452491244185,0.857,0.888,4.63199733734271e-51
Rpl28,1.19008963018529e-54,0.0860664820092025,1,0.999,1.6115003682339e-50
Ccng2,2.74775748539108e-54,-0.10395613228465,0.276,0.378,3.72073841096806e-50
Eef2,1.23963169380288e-53,0.0980480239761434,0.995,0.989,1.67858527657849e-49
Rpl6,5.54804756316263e-53,0.0846781929575191,0.999,0.998,7.51261120527852e-49
Chd1,7.92020006193576e-53,-0.11031316691867,0.375,0.485,1.07247429038672e-48
Rps27,2.74548198348167e-52,0.0853675471329227,0.999,0.999,3.71765715383252e-48
Stat1,3.43550266748105e-52,-0.158145483649229,0.272,0.367,4.65201416203609e-48
Rpl38,3.49710865929089e-52,0.0977911342343578,0.998,0.993,4.7354348355458e-48
Hsp90aa1,1.20291289429655e-51,0.152251484153394,0.826,0.769,1.62886435016696e-47
Hbp1,1.08876472298559e-50,-0.103690909675673,0.367,0.472,1.47429631139479e-46
Slbp,1.90572667473195e-50,-0.106335793265176,0.296,0.396,2.58054449025453e-46
Slfn1,2.46349318113928e-50,-0.12742093619326,0.2,0.284,3.3358161165807e-46
Gch1,6.1495723471441e-50,-0.0892558448534039,0.189,0.277,8.32713591526783e-46
Actg1,8.99537029904509e-50,0.109889221892148,0.989,0.973,1.2180630921937e-45
Hsp90b1,3.147284264796e-49,-0.10821914224656,0.362,0.461,4.26173762296026e-45
Tsc22d3,4.4822772759662e-49,-0.14923724535204,0.6,0.682,6.06945165938583e-45
Ndufa4,4.54922590137827e-49,-0.115376442309795,0.443,0.544,6.16010679305631e-45
Hspa1b,1.04871896518441e-48,0.0939838542239785,0.162,0.093,1.42007035075622e-44
P2ry10,2.77093542280938e-48,-0.103406498411933,0.157,0.236,3.75212365602618e-44
Rpl27a,3.22242219467199e-48,0.0813527572147579,0.998,0.997,4.36348189380534e-44
Saraf,7.72365675993073e-47,-0.123023123867417,0.664,0.734,1.04586036186222e-42
Pkn2,2.43147899248636e-45,-0.083893003734026,0.225,0.314,3.29246570372578e-41
Tra2b,2.49362117862749e-45,0.111736822653923,0.735,0.669,3.37661243797949e-41
Ifngr2,2.81176719959259e-45,-0.0906708083032671,0.172,0.252,3.80741396496832e-41
Ier5,3.24581273703971e-45,-0.108520482726346,0.329,0.423,4.39515502722547e-41
Itgae,2.09220422588007e-44,-0.0983386704119909,0.177,0.256,2.83305374226421e-40
Itgb7,4.41908006267592e-44,-0.115194245033763,0.255,0.34,5.98387631286946e-40
Pnpla8,5.8028650627383e-44,-0.0619185661708883,0.088,0.151,7.85765958145394e-40
Cfl1,6.5560549629961e-44,0.0893852315927024,0.99,0.982,8.87755402539302e-40
Irf9,1.2226166473234e-43,-0.0821842047208103,0.137,0.209,1.65554520214062e-39
Rab3ip,3.43724627652609e-43,-0.0957857118962816,0.193,0.273,4.65437518304398e-39
Rsrp1,5.45828166942159e-43,-0.125942496275163,0.493,0.585,7.39105920856378e-39
Bst2,2.80981952847468e-42,-0.124987653874113,0.23,0.311,3.80477662350756e-38
Lfng,3.5106014245864e-42,-0.0928704273535211,0.131,0.2,4.75370538903245e-38
Sox4,1.57641854482309e-41,0.174803406674258,0.546,0.474,2.13462835154495e-37
Cdc42se1,3.9339820694424e-41,-0.0940971381813763,0.309,0.396,5.32700512023195e-37
Elovl5,2.98290372154226e-40,-0.0864264188763416,0.235,0.316,4.03914992934038e-36
Igfbp4,4.30947209945797e-40,-0.19859216778279,0.068,0.121,5.83545616987603e-36
Sertad1,8.63277560781975e-40,-0.0915155158862401,0.324,0.416,1.16896414505487e-35
Morf4l2,8.97908889348566e-40,-0.106243624236296,0.211,0.288,1.21585842706689e-35
Gimap3,6.24541865561466e-39,-0.117364046464505,0.269,0.348,8.45692140156781e-35
Uba52,7.24029321309098e-39,0.109068218610731,0.976,0.963,9.80408103984649e-35
Samhd1,8.21806287090803e-39,-0.0853308403315364,0.109,0.171,1.11280789334966e-34
Sidt1,1.32821764119509e-38,0.066884744731799,0.108,0.058,1.79853950794228e-34
Lmbr1l,1.40651059902084e-38,-0.0684800205168356,0.175,0.25,1.90455600213412e-34
Tdrp,1.46852690002114e-38,-0.0956205674631451,0.229,0.308,1.98853227531863e-34
Eef1a1,1.97108491922556e-38,0.0722147022099695,1,1,2.66904608912333e-34
H2-Q7,9.90195937350943e-38,-0.0759311973933763,0.124,0.19,1.34082431876691e-33
Jpt1,1.38594746766194e-37,-0.0957445908730994,0.502,0.593,1.87671146596103e-33
B2m,5.5682438649022e-37,-0.135011387536804,0.852,0.855,7.53995901746408e-33
Prdx6,1.3607442758522e-36,-0.109238531140316,0.532,0.611,1.84258382393146e-32
Crem,1.41693849752912e-36,-0.0727786887622699,0.143,0.21,1.91867641950418e-32
Rras2,1.65899500626007e-36,-0.0903802955283277,0.176,0.245,2.24644513797676e-32
Ccr7,1.89032311773487e-36,-0.240043030688626,0.459,0.513,2.55968653372478e-32
Hectd1,2.23103346373438e-36,-0.0858219187089526,0.334,0.418,3.02104241324272e-32
Psme2,2.41490798576127e-36,-0.108940281239016,0.415,0.496,3.27002690351934e-32
Sesn1,4.19379321096828e-36,-0.0804426294478761,0.262,0.342,5.67881538697215e-32
Nr4a1,4.26712628749758e-36,0.192450888897116,0.423,0.349,5.77811570590048e-32
H2afv,1.78990004689704e-35,-0.0944661087898069,0.476,0.572,2.42370365350328e-31
Laptm4a,2.21661777584455e-35,-0.0788804540187389,0.272,0.351,3.00152213027111e-31
Rps12,2.86844601131928e-35,0.129836287770664,0.954,0.935,3.88416274392744e-31
Gm11808,3.09001415972932e-35,-0.0956088241190656,0.491,0.573,4.18418817368947e-31
Pja1,4.94642583302993e-35,-0.0861759136962388,0.223,0.298,6.69795522050582e-31
Fbxo32,5.7892244093085e-35,-0.0562604927058364,0.085,0.14,7.83918877264464e-31
Txnip,1.19604021946908e-34,-0.117721130685034,0.526,0.604,1.61955806118309e-30
Odc1,1.85272573344238e-34,-0.082950695428219,0.207,0.28,2.50877591565433e-30
Tmbim6,2.27807965780135e-34,-0.0880136495547261,0.592,0.672,3.0847476646288e-30
Cd7,2.84997465821769e-34,-0.128675225341447,0.182,0.249,3.85915068469257e-30
Ifi27,2.92189148756288e-34,-0.0960832013032302,0.321,0.4,3.9565332633089e-30
Ifi47,4.49948061026322e-34,-0.127561858416279,0.279,0.353,6.09274669435742e-30
H2-T22,1.51256914072755e-33,-0.112434366869133,0.615,0.693,2.04816987345917e-29
Cnbp,1.53362378298616e-33,-0.0892437472388592,0.847,0.871,2.07667996454156e-29
