cell_TRAV,het_1MF1_mHTO01,het_1MF1_mHTO02,het_1MF1_mHTO04,het_1MF1_mHTO05,het_1MF1_freq,het_3MF1_mHTO01,het_3MF1_mHTO02,het_3MF1_mHTO04,het_3MF1_mHTO05,het_3MF1_freq,ko_1MF2_mHTO01,ko_1MF2_mHTO02,ko_1MF2_mHTO04,ko_1MF2_mHTO05,ko_1MF2_freq,ko_3MF2_mHTO01,ko_3MF2_mHTO02,ko_3MF2_mHTO04,ko_3MF2_mHTO05,ko_3MF2_freq
TRAV1,3,16,13,7,39,3,1,2,4,10,3,3,7,4,17,1,4,1,4,10
TRAV10,4,17,25,33,79,3,12,9,11,35,7,20,28,11,66,1,14,6,10,31
TRAV10D,7,2,6,0,15,1,0,2,3,6,3,3,4,2,12,0,0,1,1,2
TRAV10N,1,19,10,16,46,0,6,7,6,19,5,14,16,6,41,3,6,7,8,24
TRAV11,6,1,0,2,9,0,1,1,0,2,5,0,1,1,7,1,1,3,3,8
TRAV12-1,8,17,21,25,71,7,1,13,9,30,10,17,18,19,64,4,9,15,11,39
TRAV12-2,10,48,76,57,191,9,9,23,23,64,18,28,53,45,144,7,34,17,29,87
TRAV12-3,12,14,24,25,75,4,5,13,13,35,13,8,16,20,57,7,3,15,12,37
TRAV12D-1,8,6,7,9,30,3,6,2,3,14,6,4,5,5,20,1,3,6,4,14
TRAV12D-2,12,27,41,47,127,7,5,26,20,58,16,21,32,30,99,1,15,27,23,66
TRAV12D-3,5,32,75,67,179,3,16,29,41,89,3,28,63,45,139,4,22,35,25,86
TRAV13-1,27,40,36,31,134,7,13,11,16,47,24,26,32,24,106,6,22,23,11,62
TRAV13-2,5,12,14,18,49,1,9,11,11,32,6,9,15,15,45,0,8,7,10,25
TRAV13-4-DV7,9,6,7,9,31,2,1,3,11,17,5,3,10,8,26,2,7,8,8,25
TRAV13D-1,4,7,6,5,22,2,0,3,5,10,4,4,7,2,17,0,2,3,3,8
TRAV13D-2,16,24,28,11,79,6,8,34,28,76,10,12,42,26,90,1,21,25,12,59
TRAV13D-3,1,0,0,1,2,2,1,3,3,9,4,2,1,1,8,0,1,1,3,5
TRAV13D-4,0,3,1,2,6,0,3,0,3,6,0,0,5,7,12,0,3,1,2,6
TRAV13N-1,7,23,19,11,60,4,5,7,9,25,8,7,20,11,46,2,13,8,13,36
TRAV13N-3,4,5,7,3,19,1,2,0,1,4,4,0,2,1,7,2,0,1,0,3
TRAV13N-4,4,11,8,5,28,1,1,5,5,12,4,3,12,8,27,0,5,9,13,27
TRAV14-1,5,10,7,10,32,4,5,3,7,19,5,11,13,7,36,3,6,12,2,23
TRAV14-2,10,20,19,25,74,6,8,7,12,33,5,7,19,9,40,5,13,7,5,30
TRAV14-3,10,3,10,6,29,8,6,3,11,28,5,5,9,14,33,4,4,6,5,19
TRAV14D-1,5,26,26,30,87,4,13,7,17,41,6,16,28,13,63,1,20,16,10,47
TRAV14D-2,6,20,21,17,64,2,4,9,14,29,4,11,21,12,48,4,20,13,13,50
TRAV14D-3-DV8,2,4,9,13,28,4,3,4,8,19,2,4,17,5,28,4,7,3,7,21
TRAV14N-3,3,19,12,12,46,3,6,5,12,26,2,13,12,11,38,1,13,13,3,30
TRAV15-1-DV6-1,8,2,1,3,14,1,0,1,2,4,3,0,2,1,6,1,0,0,1,2
TRAV15-2-DV6-2,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2
TRAV15D-1-DV6D-1,2,1,0,1,4,2,0,2,2,6,3,0,0,4,7,0,0,1,0,1
TRAV15D-2-DV6D-2,2,5,3,0,10,2,1,2,2,7,4,4,5,4,17,1,5,3,1,10
TRAV16,13,25,36,67,141,9,3,15,12,39,8,16,43,20,87,3,23,22,21,69
TRAV16D-DV11,5,24,25,28,82,2,4,7,16,29,2,12,16,16,46,0,18,7,9,34
TRAV16N,6,61,65,65,197,9,6,19,20,54,6,33,49,37,125,2,36,22,19,79
TRAV17,8,4,11,10,33,4,3,4,3,14,2,6,13,10,31,3,1,6,12,22
TRAV18,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
TRAV19,6,5,17,18,46,1,1,7,4,13,11,9,8,18,46,7,5,6,7,25
TRAV2,0,6,7,9,22,0,2,4,8,14,0,3,21,9,33,2,4,8,6,20
TRAV21-DV12,18,7,6,12,43,11,5,6,9,31,16,8,13,11,48,3,5,7,4,19
TRAV3-1,0,10,10,7,27,1,2,2,3,8,2,2,10,6,20,0,3,3,4,10
TRAV3-3,9,40,46,56,151,6,11,15,15,47,15,23,31,22,91,3,24,27,22,76
TRAV3-4,3,5,3,4,15,4,0,2,4,10,1,0,8,2,11,0,4,2,1,7
TRAV3D-3,7,60,75,57,199,10,16,21,47,94,26,55,71,65,217,11,36,52,46,145
