cell_TRAJ,het_1MF1_mHTO01,het_1MF1_mHTO02,het_1MF1_mHTO04,het_1MF1_mHTO05,het_1MF1_freq,het_3MF1_mHTO01,het_3MF1_mHTO02,het_3MF1_mHTO04,het_3MF1_mHTO05,het_3MF1_freq,ko_1MF2_mHTO01,ko_1MF2_mHTO02,ko_1MF2_mHTO04,ko_1MF2_mHTO05,ko_1MF2_freq,ko_3MF2_mHTO01,ko_3MF2_mHTO02,ko_3MF2_mHTO04,ko_3MF2_mHTO05,ko_3MF2_freq
TRAJ11,4,16,15,11,46,1,5,3,7,16,4,8,12,12,36,2,9,8,5,24
TRAJ12,8,38,57,50,153,6,17,16,25,64,11,32,54,38,135,2,22,28,24,76
TRAJ13,5,27,28,21,81,0,9,14,18,41,6,16,27,19,68,3,10,11,14,38
TRAJ15,6,41,55,36,138,6,13,17,28,64,8,31,47,30,116,8,27,11,36,82
TRAJ16,3,13,12,15,43,3,3,14,8,28,9,6,11,9,35,3,7,3,5,18
TRAJ17,9,25,29,21,84,8,10,14,20,52,12,20,22,14,68,4,13,15,14,46
TRAJ18,4,30,23,20,77,5,9,15,12,41,4,15,33,21,73,3,7,21,20,51
TRAJ2,3,4,13,6,26,5,2,6,14,27,4,4,11,6,25,0,2,8,4,14
TRAJ21,6,44,62,41,153,6,19,25,23,73,11,40,48,27,126,2,47,34,33,116
TRAJ22,11,83,98,82,274,8,24,36,58,126,25,52,97,61,235,8,58,49,51,166
TRAJ23,14,79,69,74,236,5,25,32,30,92,14,47,70,42,173,4,32,52,39,127
TRAJ24,6,13,14,22,55,7,5,10,6,28,6,12,22,17,57,3,9,5,6,23
TRAJ26,7,67,75,61,210,7,15,31,45,98,13,50,67,61,191,6,48,39,42,135
TRAJ27,11,30,35,43,119,4,20,18,21,63,19,15,28,24,86,7,16,23,18,64
TRAJ28,3,9,11,9,32,2,2,6,2,12,10,3,9,9,31,2,2,3,3,10
TRAJ30,14,52,80,67,213,13,11,32,36,92,19,44,70,47,180,5,34,36,27,102
TRAJ31,28,51,66,83,228,18,23,25,33,99,33,49,62,50,194,17,20,30,28,95
TRAJ32,17,26,38,43,124,12,12,19,32,75,27,26,36,33,122,10,19,27,27,83
TRAJ33,14,33,52,42,141,13,6,17,27,63,11,20,33,33,97,4,26,20,23,73
TRAJ34,18,29,42,42,131,18,9,20,20,67,20,20,32,26,98,11,24,20,16,71
TRAJ35,7,11,5,5,28,4,5,2,5,16,7,0,4,4,15,0,4,6,3,13
TRAJ37,27,36,49,47,159,20,17,13,27,77,32,22,43,25,122,12,17,27,15,71
TRAJ38,3,6,10,14,33,5,3,5,6,19,7,7,10,8,32,1,11,5,9,26
TRAJ39,12,14,29,23,78,9,12,12,12,45,17,11,22,20,70,4,15,15,11,45
TRAJ4,2,14,23,17,56,4,8,10,8,30,5,14,34,15,68,2,8,8,11,29
TRAJ40,13,37,44,57,151,14,11,15,21,61,16,23,28,24,91,10,23,21,12,66
TRAJ42,27,19,40,30,116,15,12,17,18,62,24,10,21,25,80,7,17,23,12,59
TRAJ43,16,18,20,32,86,11,8,10,22,51,23,17,20,25,85,7,22,17,11,57
TRAJ44,19,17,15,17,68,6,5,3,11,25,7,4,15,19,45,2,10,6,8,26
TRAJ45,18,23,47,31,119,12,5,17,21,55,12,15,33,15,75,5,18,18,7,48
TRAJ47,6,24,22,34,86,6,4,5,13,28,14,12,21,12,59,3,14,9,14,40
TRAJ48,22,22,33,41,118,12,10,18,16,56,16,20,43,18,97,8,12,24,23,67
TRAJ49,26,39,43,73,181,15,12,28,31,86,18,40,54,37,149,8,35,24,23,90
TRAJ5,2,10,17,16,45,0,7,6,11,24,0,4,6,12,22,2,6,7,8,23
TRAJ50,9,20,25,32,86,3,7,8,8,26,8,14,31,23,76,4,14,18,20,56
TRAJ52,27,15,21,21,84,11,7,6,12,36,17,6,14,15,52,7,13,12,14,46
TRAJ53,18,14,15,26,73,8,6,4,7,25,10,9,12,9,40,2,12,7,9,30
TRAJ56,18,15,22,35,90,14,3,13,13,43,13,10,21,22,66,11,10,19,15,55
TRAJ57,13,7,21,25,66,10,6,4,12,32,15,7,31,20,73,5,6,16,6,33
TRAJ58,14,5,14,25,58,13,3,4,11,31,6,2,11,13,32,3,3,8,4,18
TRAJ6,6,21,29,9,65,2,8,14,8,32,2,12,17,12,43,1,8,16,9,34
TRAJ7,3,19,38,31,91,2,11,23,15,51,8,17,21,36,82,3,19,20,15,57
TRAJ9,7,55,48,36,146,3,15,19,21,58,10,28,37,33,108,4,27,33,22,86
