gene,type
Tcra,TCR_components
Tra,TCR_components
Tcrb,TCR_components
Trb,TCR_components
Cd3g,TCR_components
Cd3d,TCR_components
Cd3e,TCR_components
Cd3z,TCR_components
Cd247,TCR_components
Cd4,CoReceptors_CoSignalingMolecules
Cd8a,CoReceptors_CoSignalingMolecules
Cd8b1,CoReceptors_CoSignalingMolecules
Cd8b,CoReceptors_CoSignalingMolecules
Cd28,CoReceptors_CoSignalingMolecules
Cd5,CoReceptors_CoSignalingMolecules
Cd69,CoReceptors_CoSignalingMolecules
Cd127,cytokineReceptors_chemokineReceptors
Cd122,cytokineReceptors_chemokineReceptors
gamma-c,cytokineReceptors_chemokineReceptors
Cd132,cytokineReceptors_chemokineReceptors
Ccr7,cytokineReceptors_chemokineReceptors
Ccr9,cytokineReceptors_chemokineReceptors
Ccr4,cytokineReceptors_chemokineReceptors
Cxcr4,cytokineReceptors_chemokineReceptors
S1pr1,cytokineReceptors_chemokineReceptors
Itga4,adhesionMolecules_guidanceMolecules
Itga5,adhesionMolecules_guidanceMolecules
Itga6,adhesionMolecules_guidanceMolecules
Itgal,adhesionMolecules_guidanceMolecules
Itgb1,adhesionMolecules_guidanceMolecules
Itgb2,adhesionMolecules_guidanceMolecules
Itgb4,adhesionMolecules_guidanceMolecules
Itgb7,adhesionMolecules_guidanceMolecules
Sema3e,adhesionMolecules_guidanceMolecules
Plxnd1,adhesionMolecules_guidanceMolecules
CD24,otherSurfaceMolecules
Cd24,otherSurfaceMolecules
H2-K1,otherSurfaceMolecules
H2-k1,otherSurfaceMolecules
H2-D,otherSurfaceMolecules
H2-d,otherSurfaceMolecules
Qa2,otherSurfaceMolecules
H2-Q6,otherSurfaceMolecules
H2-q6,otherSurfaceMolecules
Zap70,signalMolecules
Themis,signalMolecules
Bcl2-AX,signalMolecules
Bax,signalMolecules
Bcl2-AX1,signalMolecules
Bak1,signalMolecules
Bcl2,signalMolecules
Bcl2-L1,signalMolecules
Bcl2l1,signalMolecules
Mcl1,signalMolecules
Bcl2-L11,signalMolecules
Bcl2l11,signalMolecules
Bcl2-BC3,signalMolecules
Bbc3,signalMolecules
Socs1,transcriptionFactors
Runx3,transcriptionFactors
Runx3d,transcriptionFactors
Nr4a1,transcriptionFactors
Zbtb7b,transcriptionFactors
Rorc,transcriptionFactors
Zbtb16,transcriptionFactors
Id2,transcriptionFactors
Id3,transcriptionFactors
Gfi1,transcriptionFactors
Foxo1,transcriptionFactors
KLF2,transcriptionFactors
Klf2,transcriptionFactors
Rag1,otherMolecules
Rag2,otherMolecules
St3gal1,otherMolecules
St3gal2,otherMolecules
St3gal3,otherMolecules
St3gal5,otherMolecules
Gimap1,otherMolecules
Gimap4,otherMolecules
Gimap5,otherMolecules
