cell_TRAJ,ko_mHTO01,ko_mHTO02,ko_mHTO04,ko_mHTO05,ko_freq,het_mHTO01,het_mHTO02,het_mHTO04,het_mHTO05,het_freq
TRAJ11,6,17,20,17,60,5,21,18,18,62
TRAJ12,13,54,82,62,211,14,55,73,75,217
TRAJ13,9,26,38,33,106,5,36,42,39,122
TRAJ15,16,58,58,66,198,12,54,72,64,202
TRAJ16,12,13,14,14,53,6,16,26,23,71
TRAJ17,16,33,37,28,114,17,35,43,41,136
TRAJ18,7,22,54,41,124,9,39,38,32,118
TRAJ2,4,6,19,10,39,8,6,19,20,53
TRAJ21,13,87,82,60,242,12,63,87,64,226
TRAJ22,33,110,146,112,401,19,107,134,140,400
TRAJ23,18,79,122,81,300,19,104,101,104,328
TRAJ24,9,21,27,23,80,13,18,24,28,83
TRAJ26,19,98,106,103,326,14,82,106,106,308
TRAJ27,26,31,51,42,150,15,50,53,64,182
TRAJ28,12,5,12,12,41,5,11,17,11,44
TRAJ30,24,78,106,74,282,27,63,112,103,305
TRAJ31,50,69,92,78,289,46,74,91,116,327
TRAJ32,37,45,63,60,205,29,38,57,75,199
TRAJ33,15,46,53,56,170,27,39,69,69,204
TRAJ34,31,44,52,42,169,36,38,62,62,198
TRAJ35,7,4,10,7,28,11,16,7,10,44
TRAJ37,44,39,70,40,193,47,53,62,74,236
TRAJ38,8,18,15,17,58,8,9,15,20,52
TRAJ39,21,26,37,31,115,21,26,41,35,123
TRAJ4,7,22,42,26,97,6,22,33,25,86
TRAJ40,26,46,49,36,157,27,48,59,78,212
TRAJ42,31,27,44,37,139,42,31,57,48,178
TRAJ43,30,39,37,36,142,27,26,30,54,137
TRAJ44,9,14,21,27,71,25,22,18,28,93
TRAJ45,17,33,51,22,123,30,28,64,52,174
TRAJ47,17,26,30,26,99,12,28,27,47,114
TRAJ48,24,32,67,41,164,34,32,51,57,174
TRAJ49,26,75,78,60,239,41,51,71,104,267
TRAJ5,2,10,13,20,45,2,17,23,27,69
TRAJ50,12,28,49,43,132,12,27,33,40,112
TRAJ52,24,19,26,29,98,38,22,27,33,120
TRAJ53,12,21,19,18,70,26,20,19,33,98
TRAJ56,24,20,40,37,121,32,18,35,48,133
TRAJ57,20,13,47,26,106,23,13,25,37,98
TRAJ58,9,5,19,17,50,27,8,18,36,89
TRAJ6,3,20,33,21,77,8,29,43,17,97
TRAJ7,11,36,41,51,139,5,30,61,46,142
TRAJ9,14,55,70,55,194,10,70,67,57,204
