cell_TRAV,ko_mHTO01,ko_mHTO02,ko_mHTO04,ko_mHTO05,ko_freq,het_mHTO01,het_mHTO02,het_mHTO04,het_mHTO05,het_freq
TRAV1,4,7,8,8,27,6,17,15,11,49
TRAV10,8,34,34,21,97,7,29,34,44,114
TRAV10D,3,3,5,3,14,8,2,8,3,21
TRAV10N,8,20,23,14,65,1,25,17,22,65
TRAV11,6,1,4,4,15,6,2,1,2,11
TRAV12-1,14,26,33,30,103,15,18,34,34,101
TRAV12-2,25,62,70,74,231,19,57,99,80,255
TRAV12-3,20,11,31,32,94,16,19,37,38,110
TRAV12D-1,7,7,11,9,34,11,12,9,12,44
TRAV12D-2,17,36,59,53,165,19,32,67,67,185
TRAV12D-3,7,50,98,70,225,8,48,104,108,268
TRAV13-1,30,48,55,35,168,34,53,47,47,181
TRAV13-2,6,17,22,25,70,6,21,25,29,81
TRAV13-4-DV7,7,10,18,16,51,11,7,10,20,48
TRAV13D-1,4,6,10,5,25,6,7,9,10,32
TRAV13D-2,11,33,67,38,149,22,32,62,39,155
TRAV13D-3,4,3,2,4,13,3,1,3,4,11
TRAV13D-4,0,3,6,9,18,0,6,1,5,12
TRAV13N-1,10,20,28,24,82,11,28,26,20,85
TRAV13N-3,6,0,3,1,10,5,7,7,4,23
TRAV13N-4,4,8,21,21,54,5,12,13,10,40
TRAV14-1,8,17,25,9,59,9,15,10,17,51
TRAV14-2,10,20,26,14,70,16,28,26,37,107
TRAV14-3,9,9,15,19,52,18,9,13,17,57
TRAV14D-1,7,36,44,23,110,9,39,33,47,128
TRAV14D-2,8,31,34,25,98,8,24,30,31,93
TRAV14D-3-DV8,6,11,20,12,49,6,7,13,21,47
TRAV14N-3,3,26,25,14,68,6,25,17,24,72
TRAV15-1-DV6-1,4,0,2,2,8,9,2,2,5,18
TRAV15-2-DV6-2,1,2,0,0,3,1,0,1,0,2
TRAV15D-1-DV6D-1,3,0,1,4,8,4,1,2,3,10
TRAV15D-2-DV6D-2,5,9,8,5,27,4,6,5,2,17
TRAV16,11,39,65,41,156,22,28,51,79,180
TRAV16D-DV11,2,30,23,25,80,7,28,32,44,111
TRAV16N,8,69,71,56,204,15,67,84,85,251
TRAV17,5,7,19,22,53,12,7,15,13,47
TRAV18,0,0,1,0,1,0,0,0,1,1
TRAV19,18,14,14,25,71,7,6,24,22,59
TRAV2,2,7,29,15,53,0,8,11,17,36
TRAV21-DV12,19,13,20,15,67,29,12,12,21,74
TRAV3-1,2,5,13,10,30,1,12,12,10,35
TRAV3-3,18,47,58,44,167,15,51,61,71,198
TRAV3-4,1,4,10,3,18,7,5,5,8,25
TRAV3D-3,37,91,123,111,362,17,76,96,104,293
TRAV4-2,3,0,3,0,6,3,4,4,4,15
TRAV4-3,6,17,15,11,49,16,20,16,25,77
TRAV4-4-DV10,31,22,32,22,107,44,21,25,23,113
TRAV4D-3,7,16,13,8,44,9,26,14,16,65
TRAV4D-4,21,22,21,20,84,10,27,24,21,82
TRAV5-1,3,12,7,6,28,5,3,5,12,25
TRAV5-4,19,17,37,15,88,18,21,40,41,120
TRAV5D-4,3,14,17,11,45,3,11,18,19,51
TRAV6-1,1,12,10,11,34,3,11,14,9,37
TRAV6-2,2,7,9,5,23,3,6,8,13,30
TRAV6-3,5,8,10,11,34,3,17,21,10,51
TRAV6-4,6,4,8,14,32,4,6,13,16,39
TRAV6-5,8,8,14,22,52,9,19,17,22,67
TRAV6-6,28,52,86,75,241,21,40,78,79,218
TRAV6-7-DV9,20,26,44,28,118,33,30,40,51,154
TRAV6D-3,1,6,4,2,13,0,6,4,3,13
TRAV6D-4,0,9,14,11,34,3,8,7,9,27
TRAV6D-5,0,4,1,1,6,2,4,5,0,11
TRAV6D-7,0,0,0,0,0,0,0,0,1,1
TRAV6N-5,3,5,9,7,24,5,8,6,9,28
TRAV6N-6,5,16,37,34,92,8,15,31,38,92
TRAV6N-7,32,34,61,36,163,22,39,63,61,185
TRAV7-1,2,7,6,6,21,2,7,10,7,26
TRAV7-2,0,0,2,1,3,2,4,1,1,8
TRAV7-3,2,31,28,22,83,6,22,41,22,91
TRAV7-4,16,20,29,17,82,15,32,30,29,106
TRAV7-5,25,30,32,40,127,24,24,49,33,130
TRAV7-6,15,15,22,14,66,15,9,17,18,59
TRAV7D-2,13,33,51,30,127,10,43,57,40,150
TRAV7D-3,3,10,19,9,41,11,10,17,18,56
TRAV7D-4,9,6,13,9,37,11,4,12,14,41
TRAV7D-5,15,22,27,15,79,13,14,23,23,73
TRAV7N-4,4,5,6,7,22,1,2,5,8,16
TRAV7N-6,8,21,16,14,59,5,24,18,20,67
TRAV8-1,7,12,16,17,52,7,17,15,22,61
TRAV8D-1,8,1,7,4,20,1,5,3,9,18
TRAV8D-2,5,26,33,30,94,7,22,29,27,85
TRAV8N-2,7,37,21,29,94,12,28,33,37,110
TRAV9-1,2,3,7,12,24,8,13,18,15,54
TRAV9-2,4,12,12,19,47,6,20,27,36,89
TRAV9-4,11,8,15,13,47,12,13,24,33,82
TRAV9D-1,0,2,2,0,4,2,2,3,3,10
TRAV9D-2,1,4,1,0,6,3,3,3,5,14
TRAV9D-3,13,43,59,83,198,10,36,51,51,148
TRAV9D-4,2,1,1,0,4,1,1,0,1,3
TRAV9N-4,4,18,11,6,39,3,7,8,18,36
