cell_TRBJ,ko_mHTO01,ko_mHTO02,ko_mHTO04,ko_mHTO05,ko_freq,het_mHTO01,het_mHTO02,het_mHTO04,het_mHTO05,het_freq
TRBJ1-1,73,155,223,163,614,97,149,218,229,693
TRBJ1-2,38,50,92,74,254,52,58,99,105,314
TRBJ1-3,50,81,104,69,304,46,90,92,86,314
TRBJ1-4,60,90,111,87,348,61,92,153,125,431
TRBJ1-5,29,30,70,38,167,34,27,49,57,167
TRBJ1-6,27,51,54,51,183,31,52,60,56,199
TRBJ2-1,82,228,288,248,846,75,188,252,271,786
TRBJ2-2,66,77,112,106,361,53,111,123,127,414
TRBJ2-3,68,136,136,134,474,90,130,171,207,598
TRBJ2-4,80,140,209,164,593,76,145,184,201,606
TRBJ2-5,96,172,284,237,789,103,198,262,319,882
TRBJ2-7,99,360,459,366,1284,134,355,467,477,1433
